         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1320    0.003    0.000    0.724    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1311(_get_ticklabel_bboxes)
     1320    0.008    0.000    0.716    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1315(<listcomp>)
       10    0.000    0.000    0.716    0.072 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/pyplot.py:1089(clf)
       20    0.000    0.000    0.716    0.036 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:3125(clear)
       20    0.000    0.000    0.716    0.036 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:977(clear)
   780/60    0.002    0.000    0.652    0.011 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:31(draw_wrapper)
   380/60    0.004    0.000    0.652    0.011 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:406(draw)
 1440/640    0.031    0.000    0.644    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:505(_get_bbox_and_child_offsets)
       80    0.000    0.000    0.633    0.008 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2091(set_ticks)
       80    0.001    0.000    0.633    0.008 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2073(_set_tick_locations)
   210327    0.629    0.000    0.629    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3540    0.075    0.000    0.602    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:287(__init__)
      240    0.003    0.000    0.590    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:882(clear)
       40    0.001    0.000    0.583    0.015 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/collections.py:2183(draw)
 1440/640    0.003    0.000    0.580    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:511(<listcomp>)
     7260    0.012    0.000    0.576    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/markers.py:225(__init__)
   482416    0.527    0.000    0.560    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/expr.py:27(etype)
  480/300    0.009    0.000    0.560    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:473(_get_bbox_and_child_offsets)
       40    0.554    0.014    0.557    0.014 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 1540/440    0.003    0.000    0.549    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:364(get_bbox)
     7260    0.023    0.000    0.535    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/markers.py:306(_set_marker)
    86032    0.181    0.000    0.534    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:390(_sample_pvar)
  480/300    0.001    0.000    0.532    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:484(<listcomp>)
     2300    0.005    0.000    0.511    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1493(get_majorticklocs)
     5800    0.037    0.000    0.509    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/data.py:442(__init__)
13550/12970    0.012    0.000    0.505    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:847(viewLim)
     2040    0.023    0.000    0.497    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:734(draw)
13610/13030    0.027    0.000    0.495    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:833(_unstale_viewLim)
     5739    0.022    0.000    0.489    0.000 /workspaces/rddl_training_data_producer/agents.py:24(sample_action)
11270/11190    0.014    0.000    0.485    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2265(getter)
